"mod_n","bic","adjrsq","pred","coef","se","t","p"
1,-8.1976282665831,0.280863474486405,"(Intercept)",3.70008326341422,0.127547112438316,29.0095415935319,2.15192651150729e-37
1,-8.1976282665831,0.280863474486405,"ann_def_mm_norm",0.284575918694812,0.094280005808045,3.01841218883897,0.00370527272381624
1,-8.1976282665831,0.280863474486405,"Fire_intervalShort",-0.742507650723298,0.18428930158795,-4.02903285391715,0.000157693714822727
1,-8.1976282665831,0.280863474486405,"Fire_intervalLong:Unburned_dist_m",0.115895384954191,0.120331646808608,0.963133041289852,0.339283399279827
1,-8.1976282665831,0.280863474486405,"Fire_intervalShort:Unburned_dist_m",-0.344412534234277,0.156956234427182,-2.19432210189817,0.0320304848802533
2,-7.47664111686846,0.273813220732599,"(Intercept)",3.73890830761122,0.122170012281965,30.6041412108719,3.98369461440621e-39
2,-7.47664111686846,0.273813220732599,"ann_def_mm_norm",0.431414159178188,0.121686462053451,3.54529297588329,0.000752778101496662
2,-7.47664111686846,0.273813220732599,"Fire_intervalShort",-0.668892784062247,0.172774876215412,-3.87147019702266,0.000262828295779943
2,-7.47664111686846,0.273813220732599,"ann_def_mm_norm:Fire_intervalShort",-0.369054857020628,0.174146821983678,-2.11921672079217,0.0380843573087508
3,-7.05069073901464,0.233572335251572,"(Intercept)",3.73643567641592,0.125503612879463,29.7715387684057,8.04191615389506e-39
3,-7.05069073901464,0.233572335251572,"ann_def_mm_norm",0.25121849059777,0.0894287743476494,2.80914607664388,0.00660768900456373
3,-7.05069073901464,0.233572335251572,"Fire_intervalShort",-0.669011664219773,0.177497395505601,-3.76913510372418,0.000363445179708255
4,-6.46081638064741,0.288980035948082,"(Intercept)",3.71521716279223,0.127356471189005,29.1717973033237,3.8408948421889e-37
4,-6.46081638064741,0.288980035948082,"ann_def_mm_norm",0.402186233192989,0.130163518167227,3.08985373825162,0.00303376416931242
4,-6.46081638064741,0.288980035948082,"Fire_intervalShort",-0.735964388520948,0.183315210380422,-4.0147480778799,0.000167861494036277
4,-6.46081638064741,0.288980035948082,"Fire_intervalLong:Unburned_dist_m",0.0733279709397779,0.124034083246795,0.591192106397678,0.556612458749013
4,-6.46081638064741,0.288980035948082,"Fire_intervalShort:Unburned_dist_m",-0.281639121252538,0.163340621311554,-1.72424421427504,0.0898128048875105
4,-6.46081638064741,0.288980035948082,"ann_def_mm_norm:Fire_intervalShort",-0.244368682474934,0.187624413016421,-1.30243542695878,0.197744896958631
