"Fire_interval","TSF_bin","name","value"
"Long",5,"downed_woody_total_Mg_ha",39.8404095661104
"Long",5,"saps_pico_total_Mg_ha",1.50156544248187
"Long",5,"snag_total_Mg_ha",82.5300799282082
"Long",5,"tree_total_Mg_ha",0.197150652355923
"Long",15,"downed_woody_total_Mg_ha",92.7256324726527
"Long",15,"saps_pico_total_Mg_ha",4.5182746758603
"Long",15,"snag_total_Mg_ha",23.0936863339258
"Long",15,"tree_total_Mg_ha",19.5470819301104
"Long",25,"downed_woody_total_Mg_ha",134.468784174933
"Long",25,"saps_pico_total_Mg_ha",0.115091186617875
"Long",25,"snag_total_Mg_ha",2.31856504852705
"Long",25,"tree_total_Mg_ha",33.5150391745441
"Short",5,"downed_woody_total_Mg_ha",57.2891997798679
"Short",5,"saps_pico_total_Mg_ha",0.159266037960433
"Short",5,"snag_total_Mg_ha",9.16933344477921
"Short",5,"tree_total_Mg_ha",0.00384186357466822
"Short",15,"downed_woody_total_Mg_ha",51.9212737700939
"Short",15,"saps_pico_total_Mg_ha",0.287673931887637
"Short",15,"snag_total_Mg_ha",1.6278466078655
"Short",15,"tree_total_Mg_ha",3.54664968277569
"Short",25,"downed_woody_total_Mg_ha",50.2187241218791
"Short",25,"saps_pico_total_Mg_ha",0.013835938321564
"Short",25,"snag_total_Mg_ha",2.02260623549502
"Short",25,"tree_total_Mg_ha",1.81496883625491
