"SiteName","SiteID","SiteNO","Trt","Transect","Easting","Northing","FRI","Elevm","ElevationClass","Aspect","Slope","SoilFertility","BurnCL","DisUnburnEdge","Serot","PICO","ABLA","PIEN","PIAL","PSME","POTR","ALLSPP","Slope_deg","Fire_year_2","Fire_year_1","TSF","Fire_interval"
"WestYell",6290,629,0,"ALL",493398,4950111,27,2026,"low",0,0,0,2,39,8.3,275,0,0,0,0,0,275,0,1988,1961,12,"Short"
"WestYell",6291,629,1,"ALL",494030,4949856,100,2026,"low",0,0,0,2,262,30,5000,0,0,0,0,0,5000,0,1988,1888,12,"Long"
"Arrow",6300,630,0,"ALL",519770,4960632,9,2310,"low",92,32,0,3,48,0,200,0,0,0,0,0,200,17.7446716250569,1988,1979,12,"Short"
"Arrow",6301,630,1,"ALL",519619,4960409,238,2322,"low",92,27,0,3,124,18.3,250,25,0,0,0,0,275,15.1095751223405,1988,1750,12,"Long"
"Heart Lake N",7110,711,0,"ALL",541114,4903600,9,2294,"low",30,5,0,2,351,0,125,0,0,0,0,0,125,2.86240522611175,1988,1979,12,"Short"
"Heart Lake N",7111,711,1,"ALL",539741,4904346,250,2309,"low",52,7,0,2,89,11.7,2250,0,0,0,0,0,2250,4.00417294070939,1988,1738,12,"Long"
"Factory Hill",7120,712,0,"ALL",538410,4906834,7,2398,"low",125,17,0,1,295,0,225,0,0,0,0,0,225,9.64804531609816,1988,1981,12,"Short"
"Factory Hill",7121,712,1,"ALL",538240,4906333,250,2413,"low",100,18,0,2,22,11.7,425,0,0,0,0,0,425,10.2039737217317,1988,1738,12,"Long"
"Gallatin",7170,717,0,"ALL",499683,4973916,9,2340,"low",172,4,1,1,23,5,150,0,0,0,0,0,150,2.29061004263853,1988,1979,12,"Short"
"Gallatin",7171,717,1,"ALL",499880,4973910,137,2335,"low",172,2,1,3,184,16.7,675,0,0,0,0,0,675,1.1457628381751,1988,1851,12,"Long"
"Forest Lake",7210,721,0,"ALL",528993,4890606,7,2286,"low",0,0,0,2,104,0,2975,0,0,0,0,0,2975,0,1988,1981,12,"Short"
"Forest Lake",7211,721,1,"ALL",528892,4891936,101,2306,"low",0,0,0,2,535,28.3,12025,0,0,0,0,0,12025,0,1988,1887,12,"Long"
"Charcoal",7260,726,0,"ALL",550602,4907373,9,2513,"high",22,4,0,3,10,1.7,475,0,0,0,0,0,475,2.29061004263853,1988,1979,12,"Short"
"Charcoal",7261,726,1,"ALL",550144,4907175,255,2536,"high",0,0,0,3,511,0,2825,0,0,0,0,0,2825,0,1988,1733,12,"Long"
"Cygnet",8030,803,0,"ALL",532122,4947495,28,2557,"high",70,10,0,3,49,0,650,0,25,0,0,0,675,5.71059313749964,1988,1960,12,"Short"
"Cygnet",8031,803,1,"ALL",532116,4947795,226,2537,"high",60,11,0,3,9,0,13700,0,25,75,0,0,13800,6.27729848959755,1988,1762,12,"Long"
"Madison Junct",8110,811,0,"ALL",512415,4941522,28,2205,"low",0,0,0,3,109,4,14825,0,0,0,0,0,14825,0,1988,1960,12,"Short"
"Madison Junct",8111,811,1,"ALL",512549,4941446,158,2207,"low",0,0,0,3,851,31.7,49200,0,0,0,0,0,49200,0,1988,1830,12,"Long"
"Astringent",8190,819,0,"ALL",559911,4941052,13,2540,"high",270,15,1,1,125,0,25,0,0,0,0,0,25,8.53076560994813,1994,1981,6,"Short"
"Astringent",8191,819,1,"ALL",558996,4938724,116,2452,"high",160,5,1,3,27,1.7,100,0,0,0,0,0,100,2.86240522611175,1994,1878,6,"Long"
"Charcoal Bay",998050,99805,0,"ALL",552530,4906758,7,2390,"low",0,0,1,2,406,0,75,0,0,0,0,0,75,0,1988,1981,11,"Short"
"Charcoal Bay",998051,99805,1,"ALL",552723,4907724,106,2371,"low",0,0,1,3,272,11.7,4875,0,0,0,0,0,4875,0,1988,1882,11,"Long"
